ODD L/Min entries	Count	Percentage	Percentage included	Map to
Other: halio therapy	4	9.63342644842781E-07		
Other: humidified O2 facetent	4	9.63342644842781E-07		
Other: 75cc	4	9.63342644842781E-07		
Other: Humidified scoop  BB	4	9.63342644842781E-07		
Other: 100% blow by mist	4	9.63342644842781E-07		
Other: sfm	4	9.63342644842781E-07		
Other: 1.25 L NC	4	9.63342644842781E-07		
Other: changed to humidified O2 sccop 100 %	4	9.63342644842781E-07		
Other: trach collar via double barrell	4	9.63342644842781E-07		
Other: speaking valve under trach collar	4	9.63342644842781E-07		
Other: speaking valve with O2 port	4	9.63342644842781E-07		
Other: ECMO	4	9.63342644842781E-07		
Other: humdified scoop	4	9.63342644842781E-07		
Other: HME w/ O2 port	4	9.63342644842781E-07		
Other: mist/mask	4	9.63342644842781E-07		
Other: Pari neb	4	9.63342644842781E-07		
Other: O2 to trach	4	9.63342644842781E-07		
Other: face mask and nasal cannula	4	9.63342644842781E-07		
Other: humidifed O2 through trach	4	9.63342644842781E-07		
Other: Continous neb	4	9.63342644842781E-07		
Other: ET tube bagging by resp.	4	9.63342644842781E-07		
Other: 100% facemask	4	9.63342644842781E-07		
Other: O2 mist	4	9.63342644842781E-07		
Other: BBO2	4	9.63342644842781E-07		
Other: 50% facemask	4	9.63342644842781E-07		
Other: Neb @ current	4	9.63342644842781E-07		
Other: Cont.Neb	4	9.63342644842781E-07		
Other: Face Teant	4	9.63342644842781E-07		
Other: 4liters	4	9.63342644842781E-07		
Other: nasal cannula at 2 liters	4	9.63342644842781E-07		
Other: nebulizer.	4	9.63342644842781E-07		
Other: cool mist 100%	4	9.63342644842781E-07		
Other: oxygen via humidified face mask	4	9.63342644842781E-07		
Other: \continuous neb	4	9.63342644842781E-07		
Other: simple mask over trach	4	9.63342644842781E-07		
Other: HUMIDIFIED	4	9.63342644842781E-07		
Other: HME with oxygen	4	9.63342644842781E-07		
Other: humidified 02 via face tent	4	9.63342644842781E-07		
Other: Home Ivap machine	4	9.63342644842781E-07		
Other: Aerosolized face mask	4	9.63342644842781E-07		
Other: oxymizer nc	4	9.63342644842781E-07		
Other: nasal cannula in mouth	4	9.63342644842781E-07		
Other: trach  mask	4	9.63342644842781E-07		
Other: Neb tx	4	9.63342644842781E-07		
Other: Passy muir valve	4	9.63342644842781E-07		
Other: hme with o2	4	9.63342644842781E-07		
Other: Trach Colar	4	9.63342644842781E-07		
Other: mask over trach	4	9.63342644842781E-07		
Other: nasal cannula and face mask	4	9.63342644842781E-07		
Other: humidified air 40	4	9.63342644842781E-07		
Other: cont alb aerosol mask	4	9.63342644842781E-07		
Other: Nebulizer w/ O2	4	9.63342644842781E-07		
Other: o2 trach adaptor	4	9.63342644842781E-07		
Other: aerosol mist	4	9.63342644842781E-07		
Other: col mist	4	9.63342644842781E-07		
Other: manual vent	4	9.63342644842781E-07		
Other: scoop 100% humidified	4	9.63342644842781E-07		
Other: nasal cannula and 100% shovel mask	4	9.63342644842781E-07		
Other: funnel mask propped close to face	4	9.63342644842781E-07		
Other: 3	4	9.63342644842781E-07		
Other: Pt. no longer on moniter for vitals	4	9.63342644842781E-07		
Other: Nasal trumpet with O2	4	9.63342644842781E-07		
Other: fish mask, humidified O2	4	9.63342644842781E-07		
Other: traxch collar 28%	4	9.63342644842781E-07		
Other: 1.5 liters	4	9.63342644842781E-07		
Other: 100% Scoop Mask	4	9.63342644842781E-07		
Other: anesthesia bag as blow by	4	9.63342644842781E-07		
Other: NEBULIZER	4	9.63342644842781E-07		
Other: cool air mist	4	9.63342644842781E-07		
Other: mouth	4	9.63342644842781E-07		
Other: simple mask/blow by	4	9.63342644842781E-07		
Other: O2 via trach	4	9.63342644842781E-07		
Other: Humidified scoop	4	9.63342644842781E-07		
Other: cont. Neb.	4	9.63342644842781E-07		
Other: 1.5L	4	9.63342644842781E-07		
Other: Humidified O2 via trach collar	4	9.63342644842781E-07		
Other: sat's down to 90-92 on room air BB O2 added	4	9.63342644842781E-07		
Other: Pt. states she can not wear the CPAP at all, will try again later	4	9.63342644842781E-07		
Other: Face-bag mask	4	9.63342644842781E-07		
Other: RA mist cube	4	9.63342644842781E-07		
Other: tach	4	9.63342644842781E-07		
Other: humidified O2 trach collar	4	9.63342644842781E-07		
Other: paril c neb	4	9.63342644842781E-07		
Other: humidied oxygen	4	9.63342644842781E-07		
Other: Bag mask ventilation	4	9.63342644842781E-07		
Other: multiple	4	9.63342644842781E-07		
Other: nasal cannula and blow-by	4	9.63342644842781E-07		
Other: Passy Muir valve	4	9.63342644842781E-07		
Other: mapleson	4	9.63342644842781E-07		
Other: Tracheostomy HME	4	9.63342644842781E-07		
Other: NS	4	9.63342644842781E-07		
Other: simple mask heliox 70/30	4	9.63342644842781E-07		
Other: Double barrel 02	4	9.63342644842781E-07		
Other: Humidified O2 BB 100%	4	9.63342644842781E-07		
Other: 1/8 L	4	9.63342644842781E-07		
Other: Cont. neb.	4	9.63342644842781E-07		
Other: Double-barrel Trach collar	4	9.63342644842781E-07		
Other: HUMIDIFIED SHOVEL MASK	4	9.63342644842781E-07		
Other: O2 on standby	4	9.63342644842781E-07		
Other: 30% humidified o2	4	9.63342644842781E-07		
Other: humidified O2 via trach mask.	4	9.63342644842781E-07		
Other: Mist cube.	4	9.63342644842781E-07		
Other: Humidified O2 scoop mask	4	9.63342644842781E-07		
Other: 100% Humidified O2 scoop mask.	4	9.63342644842781E-07		
Other: trach mask with humidification	3	7.22506983632086E-07		
Other: Simple mask used w/out effect w/ O2 sat in 70's- Bag/Mask used, code bell alerted w/ O2 sat to 8%. +circumoral cyanosis. O2 sats to 100% w/ 5 ventilations. Pt returned to baseline.	3	7.22506983632086E-07		
Other: with neb treatment	3	7.22506983632086E-07		
Other: Heliox via Simple Mask	3	7.22506983632086E-07		
Other: hudified face tent	3	7.22506983632086E-07		
Other: bag mask with positive pressure	3	7.22506983632086E-07		
Other: Oxyimizer	3	7.22506983632086E-07		
Other: 100% Humidified O2 Blow By	3	7.22506983632086E-07		
Other: via HME	3	7.22506983632086E-07		
Other: contin neb	3	7.22506983632086E-07		
Other: speaking valve on trach	3	7.22506983632086E-07		
Other: 4L n/c and BBO2	3	7.22506983632086E-07		
Other: high flow nasal canula	3	7.22506983632086E-07		
Other: simple mask, blow by	3	7.22506983632086E-07		
Other: changed to Humidified o2 SCOOP.	3	7.22506983632086E-07		
Other: Humidified O2 scoop 100%	3	7.22506983632086E-07		
Other: infant mist cube double barrell	3	7.22506983632086E-07		
Other: Heliox Cont. Alb	3	7.22506983632086E-07		
Other: changed to humidified O2 scoop	3	7.22506983632086E-07		
Other: using hme until going to sleep	3	7.22506983632086E-07		
Other: humified 02	3	7.22506983632086E-07		
Other: humidified o2 FM	3	7.22506983632086E-07		
Other: entidal	3	7.22506983632086E-07		
Other: 35 %	3	7.22506983632086E-07		
Other: 70%	3	7.22506983632086E-07		
Other: face mask blow by	3	7.22506983632086E-07		
Other: double-barrel	3	7.22506983632086E-07		
Other: 50% N2O started	3	7.22506983632086E-07		
Other: humidified collar	3	7.22506983632086E-07		
Other: HME without oxygen port	3	7.22506983632086E-07		
Other: trach w HME	3	7.22506983632086E-07		
Other: anes. masked	3	7.22506983632086E-07		
Other: Nasal mask from OSH	3	7.22506983632086E-07		
Other: Shovel mask.	3	7.22506983632086E-07		
Other: ALB NEB	3	7.22506983632086E-07		
Other: continous neb tx	3	7.22506983632086E-07		
Other: 100% humidified BB	3	7.22506983632086E-07		
Other: Continous albuterol neb	3	7.22506983632086E-07		
Other: trach collar, 8 liters room air mist on 28 %	3	7.22506983632086E-07		
Other: 100% SINGLE BARREL attached to blow by face mask (pt will not wear other face mask at this time	3	7.22506983632086E-07		
Other: prongs	3	7.22506983632086E-07		
Other: intubated hand bagged.	3	7.22506983632086E-07		
Other: emergency mask	3	7.22506983632086E-07		
Other: speaking valve + O2	3	7.22506983632086E-07		
Other: NC and oxygen blow-by	3	7.22506983632086E-07		
Other: nebulizer with saline	3	7.22506983632086E-07		
Other: CPAP and nasal cannula	3	7.22506983632086E-07		
Other: Nitrous off	3	7.22506983632086E-07		
Other: nasal trumpet dc'd, pt maintaining sats and tolerating well	3	7.22506983632086E-07		
Other: Room air humidified mist	3	7.22506983632086E-07		
Other: bled through trach nose	3	7.22506983632086E-07		
Other: abmu bag	3	7.22506983632086E-07		
Other: Through trach and HME	3	7.22506983632086E-07		
Other: Pt off BIPAP.  Pt has vest on at this time.  Unable to assess breath sounds.	3	7.22506983632086E-07		
Other: NC with funnel	3	7.22506983632086E-07		
Other: nebulizer with nebulizer	3	7.22506983632086E-07		
Other: 3L/min	3	7.22506983632086E-07		
Other: heliox off	3	7.22506983632086E-07		
Other: O2 given through ambu mask. pt breathing independ.	3	7.22506983632086E-07		
Other: Ambu bag by anesthesia	3	7.22506983632086E-07		
Other: aerosol  mask	3	7.22506983632086E-07		
Other: Humidified	3	7.22506983632086E-07		
Other: 3LNC & 40% Face tent.	3	7.22506983632086E-07		
Other: 1 liter via nasal cannula	3	7.22506983632086E-07		
Other: aeromask	3	7.22506983632086E-07		
Other: neb txt	3	7.22506983632086E-07		
Other: Pt being bagged by anesthesia	3	7.22506983632086E-07		
Other: 1 L NC	3	7.22506983632086E-07		
Other: 35% mist	3	7.22506983632086E-07		
Other: bagging by resp	3	7.22506983632086E-07		
Other: nasal cannula w/study gas	3	7.22506983632086E-07		
Other: 21%	3	7.22506983632086E-07		
Other: 70% face mask	3	7.22506983632086E-07		
Other: Passy-Muir	3	7.22506983632086E-07		
Other: heliox 70/30	3	7.22506983632086E-07		
Other: nebulizer with combivent #1	3	7.22506983632086E-07		
Other: humidified O2 scoop mask	3	7.22506983632086E-07		
Other: anesthesia	3	7.22506983632086E-07		
Other: humidified oxygen blow by	3	7.22506983632086E-07		
Other: oxygen	3	7.22506983632086E-07		
Other: nonrebreather	3	7.22506983632086E-07		
Other: Trach blow by	3	7.22506983632086E-07		
Other: Nasal cannula, blow by	3	7.22506983632086E-07		
Other: albuterol nebulizer pedi mask	3	7.22506983632086E-07		
Other: racemic epi nebulizer	3	7.22506983632086E-07		
Other: Humidified 100% O2 via scoop	3	7.22506983632086E-07		
Other: humidified O2  100%	3	7.22506983632086E-07		
Other: Cont. Alb. Neb. By Mask	3	7.22506983632086E-07		
Other: high flow	3	7.22506983632086E-07		
Other: humidified BBO2 for croup like cough	3	7.22506983632086E-07		
Other: Cont. NEB	3	7.22506983632086E-07		
Other: Changed to 100% humidified O2 via scoop o/a to PACU	3	7.22506983632086E-07		
Other: anes	3	7.22506983632086E-07		
Other: humidified oxygen via trach collar.	3	7.22506983632086E-07		
Other: shovel/open face mask with cool mist	3	7.22506983632086E-07		
Other: Cont. Albuterol neb	3	7.22506983632086E-07		
Other: Double barrel w/ adult aerosol face mask	3	7.22506983632086E-07		
Other: 2	3	7.22506983632086E-07		
Other: ambu bag...cpap	3	7.22506983632086E-07		
Other: 2 L NC and 40% BBO2	3	7.22506983632086E-07		
Other: 28%BB	3	7.22506983632086E-07		
Other: pt on bipap with cool humidity per pt request.	3	7.22506983632086E-07		
Other: trach collar via stoma	3	7.22506983632086E-07		
Other: 70% aerosol mask	3	7.22506983632086E-07		
Other: humidified 100%	3	7.22506983632086E-07		
Other: with back to back nebs	3	7.22506983632086E-07		
Blow-By, Other: room air	3	7.22506983632086E-07		
Other: 50 percent humidified oxygen	3	7.22506983632086E-07		
Other: modified nasal cannula and pacifier	3	7.22506983632086E-07		
Other: double bareel aerosol	3	7.22506983632086E-07		
Other: pt asleep	3	7.22506983632086E-07		
Other: shovel mask mist	3	7.22506983632086E-07		
Other: placed back on continuous neb	3	7.22506983632086E-07		
Other: blowby double barrel	3	7.22506983632086E-07		
Other: Shiley Speaking valve	3	7.22506983632086E-07		
Other: bmv	3	7.22506983632086E-07		
Other: NEB-	3	7.22506983632086E-07		
Other: humidified room air	3	7.22506983632086E-07		
Other: manual cpap	3	7.22506983632086E-07		
Other: 1 l NC over night	3	7.22506983632086E-07		
Other: NO2 50%	3	7.22506983632086E-07		
Other: bubble CPAP	3	7.22506983632086E-07		
Other: oxyimizer	3	7.22506983632086E-07		
Other: GA>	3	7.22506983632086E-07		
Other: pendant oxymizer	3	7.22506983632086E-07		
Other: saline tx	3	7.22506983632086E-07		
Other: 5 liters oxygen bled into trach collar	3	7.22506983632086E-07		
Other: ETT, ventilated	3	7.22506983632086E-07		
Other: manual breaths, intubated pt	3	7.22506983632086E-07		
Other: Humidified O2 scoop placed on	3	7.22506983632086E-07		
Other: bag-trach	3	7.22506983632086E-07		
Other: Cool mist aerosol to trach collar	3	7.22506983632086E-07		
Other: Nebiuizer	3	7.22506983632086E-07		
Other: 100%humidified O2 scoop	3	7.22506983632086E-07		
asleep	3	7.22506983632086E-07		
Other: cool mist   applied	3	7.22506983632086E-07		
Other: Low flow NC	3	7.22506983632086E-07		
Other: mask 02 blow by	3	7.22506983632086E-07		
Other: blow-by mask prn	3	7.22506983632086E-07		
Other: fishy mask	3	7.22506983632086E-07		
Other: Sip & Puff	3	7.22506983632086E-07		
Other: 1L NC	3	7.22506983632086E-07		
Other: cont. ned	3	7.22506983632086E-07		
Other: 70% trache mist	3	7.22506983632086E-07		
Other: Changed to 100% Humidified O2	3	7.22506983632086E-07		
Other: trumpet	3	7.22506983632086E-07		
Other: nasal can	3	7.22506983632086E-07		
Other: endtidle	3	7.22506983632086E-07		
Other: Trach collar.	3	7.22506983632086E-07		
Other: simple mask blow by	3	7.22506983632086E-07		
Other: Humidified room air	3	7.22506983632086E-07		
Other: Cont alb tx via face mask	3	7.22506983632086E-07		
Other: Humidified O2 via shovel mask	3	7.22506983632086E-07		
Other: mannual cpap	3	7.22506983632086E-07		
Other: humidified o2 mask	3	7.22506983632086E-07		
Other: bag/mask blow by	3	7.22506983632086E-07		
Other: Nitrous on at 50%	3	7.22506983632086E-07		
Other: AM	3	7.22506983632086E-07		
Other: mapleson mask	3	7.22506983632086E-07		
Other: duoneb	3	7.22506983632086E-07		
Other: 45% N2O	3	7.22506983632086E-07		
Other: mask by anesthesia	3	7.22506983632086E-07		
Other: mist @ 40%	3	7.22506983632086E-07		
Other: Albuterol pari-neb	3	7.22506983632086E-07		
Other: humidified O2 with shovel mask	3	7.22506983632086E-07		
Other: 100% misty via aersol mask	3	7.22506983632086E-07		
Other: combivent#1 up	3	7.22506983632086E-07		
Other: combivent	3	7.22506983632086E-07		
Other: pari-nebulizer	3	7.22506983632086E-07		
Other: bag valve mask ventilations	3	7.22506983632086E-07		
Other: Combivent Neb	3	7.22506983632086E-07		
Other: pt off of o2 at the time ep/ca	3	7.22506983632086E-07		
Other: postive pressure with ambu bag	3	7.22506983632086E-07		
Other: 35% shovel mask	3	7.22506983632086E-07		
Other: combivent neb	3	7.22506983632086E-07		
Other: continuous albeuterol neb	3	7.22506983632086E-07		
Other: tc	3	7.22506983632086E-07		
Other: cool mist with 100% oxygen and mask	3	7.22506983632086E-07		
Other: 5	3	7.22506983632086E-07		
Other: Continous	3	7.22506983632086E-07		
Other: humidified shovel mask air	3	7.22506983632086E-07		
Other: N2O 45%	3	7.22506983632086E-07		
Other: Speaking valve with Oxygen port	3	7.22506983632086E-07		
Other: nebulizer running	3	7.22506983632086E-07		
Other: non rebreather and NC	3	7.22506983632086E-07		
Other: Oxymyzer	3	7.22506983632086E-07		
Other: simple face mask	3	7.22506983632086E-07		
Other: bagging by resp.	3	7.22506983632086E-07		
Other: double-barrel nebulized O2	3	7.22506983632086E-07		
Other: 100% DOUBLE BARREL attached to blow by face mask (pt will not wear other face mask at this time	3	7.22506983632086E-07		
Other: humidfied O2 scoop	3	7.22506983632086E-07		
Other: Passy Muir Valve	3	7.22506983632086E-07		
Other: neb with aero mask	3	7.22506983632086E-07		
Other: MRI Vent	3	7.22506983632086E-07		
Other: manual bipap	3	7.22506983632086E-07		
Other: HME with oxygen port	3	7.22506983632086E-07		
Other: via shovel mask	3	7.22506983632086E-07		
Other: receving neb albuterol	3	7.22506983632086E-07		
Other: Humidified oxygen via mask	3	7.22506983632086E-07		
Other: mist o2 cube	3	7.22506983632086E-07		
Other: double barrell face mask	3	7.22506983632086E-07		
Other: 100% Humidified O2 scoop.	3	7.22506983632086E-07		
Other: hand vent	3	7.22506983632086E-07		
Other: ET tube bagged	3	7.22506983632086E-07		
Other: anesthesia bag/mask	3	7.22506983632086E-07		
Other: off of CPAP at this time	3	7.22506983632086E-07		
Other: 39% mist cube	3	7.22506983632086E-07		
Other: neb with Albuterol	3	7.22506983632086E-07		
Other: albuterol neb with oxygen	3	7.22506983632086E-07		
Other: bagged on 100%	3	7.22506983632086E-07		
95	3	7.22506983632086E-07		
Other: face mask 2 liters of o2	3	7.22506983632086E-07		
Other: pt spaced to every one hour nebs. Tolerating well	3	7.22506983632086E-07		
Other: trach collar humidity	3	7.22506983632086E-07		
Other: 40 % mist mask blow by	3	7.22506983632086E-07		
Other: tach collar	3	7.22506983632086E-07		
Other: ambu bag blow by	3	7.22506983632086E-07		
Other: O2 mask	3	7.22506983632086E-07		
Other: mask positive pressure	3	7.22506983632086E-07		
Other: cool mist face tent	3	7.22506983632086E-07		
Other: HME no O2	3	7.22506983632086E-07		
Other: hummidified o2	3	7.22506983632086E-07		
Other: 30 % trach mist	3	7.22506983632086E-07		
Other: 1l/min	3	7.22506983632086E-07		
Other: 100% single barrel O2 cube	3	7.22506983632086E-07		
Other: 50 % face mask	3	7.22506983632086E-07		
Other: trach with mist collar	3	7.22506983632086E-07		
Other: ltv	3	7.22506983632086E-07		
Other: Humidified O2 scoop/BB	3	7.22506983632086E-07		
Other: Open Face Mask with humidification	3	7.22506983632086E-07		
Other: 50% humidified O2	3	7.22506983632086E-07		
Other: 5L NC plus 100%fio2 via fae mask	3	7.22506983632086E-07		
Other: hand-bag	3	7.22506983632086E-07		
Other: Racemic neb	3	7.22506983632086E-07		
Other: facemask cpap	3	7.22506983632086E-07		
Other: 40% settings 14/8	3	7.22506983632086E-07		
Other: Oral airway	3	7.22506983632086E-07		
Other: LTV vent	3	7.22506983632086E-07		
Other: simple mask nasal trumpet	3	7.22506983632086E-07		
Other: trach oxygen	3	7.22506983632086E-07		
Other: nasal cannula plus simple face mask	3	7.22506983632086E-07		
Other: Mask.	3	7.22506983632086E-07		
Other: humidified shovel	3	7.22506983632086E-07		
Other: nebulzer	3	7.22506983632086E-07		
Other: blow-by via trach	3	7.22506983632086E-07		
Other: OFF BIPAP	3	7.22506983632086E-07		
Other: Humidified O2 scoop applied.	3	7.22506983632086E-07		
Other: NS nebulizer	3	7.22506983632086E-07		
Other: changed to humidified O2 BB 100% via scoop	3	7.22506983632086E-07		
Other: Saline neb	3	7.22506983632086E-07		
Other: 30% BBO2	3	7.22506983632086E-07		
Other: cont. neb administered via BB secondary to not tolerating mask while awake	3	7.22506983632086E-07		
Other: suctioned of nil secretions	3	7.22506983632086E-07		
Other: tco2 monitor 37	3	7.22506983632086E-07		
Other: 100%cool humidified mist	3	7.22506983632086E-07		
Other: doing neb	3	7.22506983632086E-07		
Other: 80 ppm nitric oxide with 100 Fio2	3	7.22506983632086E-07		
Other: Hi Flow	3	7.22506983632086E-07		
Other: 0.5 L	3	7.22506983632086E-07		
Other: UNINEB MASK	3	7.22506983632086E-07		
Other: passy-muir	3	7.22506983632086E-07		
Other: 100% humidified O2 via trach simple mask	3	7.22506983632086E-07		
Other: changed from simple mask to 100% humidified O2 scoop	3	7.22506983632086E-07		
Other: CONT NEB	3	7.22506983632086E-07		
Other: changed to 100% Humidified O2  scoop	3	7.22506983632086E-07		
Other: Albuterol	3	7.22506983632086E-07		
Other: humidified ventimask	3	7.22506983632086E-07		
Other: BB shovel mask	3	7.22506983632086E-07		
Other: Bucket mask	3	7.22506983632086E-07		
Other: huidified scoop mask	3	7.22506983632086E-07		
Other: aerasol mask	3	7.22506983632086E-07		
Other: NPPV-PSV	3	7.22506983632086E-07		
Other: BB mask	3	7.22506983632086E-07		
Other: humidified scoop.O2	3	7.22506983632086E-07		
Other: blowby mist	3	7.22506983632086E-07		
Other: Continuous Albuterol w/ heliox	3	7.22506983632086E-07		
Other: passey muir valve	3	7.22506983632086E-07		
Other: humidified scoop mask 100%	3	7.22506983632086E-07		
Other: 100 % Humidifiwd O2 scoop	3	7.22506983632086E-07		
Other: Nebullizer	3	7.22506983632086E-07		
Other: continuous neb with mask	3	7.22506983632086E-07		
Other: 4%mist	3	7.22506983632086E-07		
Other: continuous nebullizer	3	7.22506983632086E-07		
Other: O2 hood	3	7.22506983632086E-07		
Other: double barrel aerosol	3	7.22506983632086E-07		
Other: 40%BBO2	3	7.22506983632086E-07		
Other: 40% BB O2	3	7.22506983632086E-07		
Other: Continuous nebs.	3	7.22506983632086E-07		
Other: Hand Bag Mask	3	7.22506983632086E-07		
Other: BB 40%	3	7.22506983632086E-07		
Other: ON nitric Oxide study	3	7.22506983632086E-07		
Other: Humidified o2 decreased to 28% via trach	3	7.22506983632086E-07		
Other: cannula with passy muir	2	4.81671322421391E-07		
Other: passy	2	4.81671322421391E-07		
Other: 50	2	4.81671322421391E-07		
Other: Nebulizer in progress	2	4.81671322421391E-07		
Other: nasal cpap	2	4.81671322421391E-07		
Other: NC 2L	2	4.81671322421391E-07		
Other: 0.4	2	4.81671322421391E-07		
Other: humidified nasal cannula	2	4.81671322421391E-07		
Other: HeO2	2	4.81671322421391E-07		
Other: Trialed off nasal cannula	2	4.81671322421391E-07		
Other: NC and nonrebreather	2	4.81671322421391E-07		
Other: CNeb	2	4.81671322421391E-07		
Other: home ventilator	2	4.81671322421391E-07		
Other: aerosol mask, 0.35%	2	4.81671322421391E-07		
Other: artificial nose with oxygen port	2	4.81671322421391E-07		
Other: Double barrell face mask	2	4.81671322421391E-07		
Other: BBO2 via funnel	2	4.81671322421391E-07		
Other: maintaining airway	2	4.81671322421391E-07		
Other: neb treatments	2	4.81671322421391E-07		
Other: etco2 off with no change in resp rate	2	4.81671322421391E-07		
Other: albuterol nebulizer via trach	2	4.81671322421391E-07		
Other: Pt Off bipap at this time, awake with Dad	2	4.81671322421391E-07		
Other: roomair	2	4.81671322421391E-07		
Other: Mask	2	4.81671322421391E-07		
Other: 40%tc	2	4.81671322421391E-07		
Other: 50% fio2 via face mask	2	4.81671322421391E-07		
Other: mask with neb	2	4.81671322421391E-07		
Other: humidified O2 via simple mask	2	4.81671322421391E-07		
Other: 100% humidified O2 via simple mask	2	4.81671322421391E-07		
Other: Humidified O2 via face mask	2	4.81671322421391E-07		
Other: ambu-bag blow-by	2	4.81671322421391E-07		
Other: NO testing	2	4.81671322421391E-07		
Other: FACE TENT	2	4.81671322421391E-07		
Other: nitric oxide study nasal pulse with 2L O2	2	4.81671322421391E-07		
Other: humidiefied oxygen	2	4.81671322421391E-07		
Other: mist 50 %	2	4.81671322421391E-07		
Other: bag. ventilated at bedside . Sats increased. Neo and glyco tiven at bedside by anesthesea	2	4.81671322421391E-07		
Other: 28% humidified	2	4.81671322421391E-07		
Other: neb treatment in progress	2	4.81671322421391E-07		
Other:  trach collar	2	4.81671322421391E-07		
Other: Continuous Albuterol, heliox	2	4.81671322421391E-07		
Other: transport ventilator	2	4.81671322421391E-07		
Other: tco2 monitor 36	2	4.81671322421391E-07		
Other: 100% on vent	2	4.81671322421391E-07		
Other: jackson reese by CRNA at 10L	2	4.81671322421391E-07		
Other: cool humied mist	2	4.81671322421391E-07		
Other: Face shovel secured to face	2	4.81671322421391E-07		
Other: 28% humidifed O2 via trach mask	2	4.81671322421391E-07		
36.2	2	4.81671322421391E-07		
93	2	4.81671322421391E-07		
Other: Simple mask as blow by.	2	4.81671322421391E-07		
Other: 40% mist cube	2	4.81671322421391E-07		
Other: O2 blow by as needed	2	4.81671322421391E-07		
Other: albuteral neb.	2	4.81671322421391E-07		
Other: pt receiving albuterol neb during PT session	2	4.81671322421391E-07		
Other: Humidified blow by	2	4.81671322421391E-07		
Other: humidifeid mist	2	4.81671322421391E-07		
Other: N2O OFF	2	4.81671322421391E-07		
Other: neb in progress.	2	4.81671322421391E-07		
Other: NC, blow by	2	4.81671322421391E-07		
Other: HME w/ oxygen port	2	4.81671322421391E-07		
Other: 50% N20	2	4.81671322421391E-07		
Other: HME with O2 probe	2	4.81671322421391E-07		
Other: nasal trumpette	2	4.81671322421391E-07		
Other: blow by on bed, pt not currently  using	2	4.81671322421391E-07		
Other: 10L simple mask. 2L nasal cannula	2	4.81671322421391E-07		
Other: Trach w HME	2	4.81671322421391E-07		
Other: bagging for CPAP	2	4.81671322421391E-07		
Other: HME Collar	2	4.81671322421391E-07		
Other: humidied O2	2	4.81671322421391E-07		
Other: 0.5L NC	2	4.81671322421391E-07		
Other: rac epi neb	2	4.81671322421391E-07		
Other: nebulizer up; awaiting continuous set-up from pharmacy	2	4.81671322421391E-07		
Other: hme with cannula	2	4.81671322421391E-07		
Other: HME with Fio2	2	4.81671322421391E-07		
Other: pt on RA during session but has been using .5-1L of O2 through NC when ambulating	2	4.81671322421391E-07		
Other: blow by via FM	2	4.81671322421391E-07		
Other: Trilogy  200	2	4.81671322421391E-07		
Other: Triology 200	2	4.81671322421391E-07		
Other: trah collar	2	4.81671322421391E-07		
Other: error	2	4.81671322421391E-07		
Other: 1/2L NC	2	4.81671322421391E-07		
Other: nitric	2	4.81671322421391E-07		
Other: 50%face mask	2	4.81671322421391E-07		
Other: bag mask ventaltion	2	4.81671322421391E-07		
Other: Double-barrel O2 Cube	2	4.81671322421391E-07		
Other: double barrel aerosol mask 70%	2	4.81671322421391E-07		
Other: double barrel FM	2	4.81671322421391E-07		
Other: 0.5	2	4.81671322421391E-07		
Other: End tidal CO2	2	4.81671322421391E-07		
Other: Nasal cannula at 3 LPM and shovel mask at 100%	2	4.81671322421391E-07		
Other: 1/8 L NC	2	4.81671322421391E-07		
Other: blow by humiidified via shovel mask supplemented with 10 liters O2 via bb	2	4.81671322421391E-07		
Other: 100 % DOUBLE BARREL attached to blow by face mask (pt will not wear other face mask)	2	4.81671322421391E-07		
Other: hfov	2	4.81671322421391E-07		
Other: BiPap removed	2	4.81671322421391E-07		
Other: ET tube	2	4.81671322421391E-07		
Other: 40 % via collar	2	4.81671322421391E-07		
Other: AEROSOL MASK	2	4.81671322421391E-07		
Other: Cont alb neb 20mg/hr	2	4.81671322421391E-07		
Other: continuous aerosol	2	4.81671322421391E-07		
Other: hummidified blowby	2	4.81671322421391E-07		
Other: open face mask	2	4.81671322421391E-07		
Other: Continuos neb	2	4.81671322421391E-07		
Other: 28% Trach collar	2	4.81671322421391E-07		
Other: 9	2	4.81671322421391E-07		
Other: double barreled simple mask	2	4.81671322421391E-07		
Other: Nebulizer treatment, 10 L/min aerosol mask.	2	4.81671322421391E-07		
Other: bagged by RT	2	4.81671322421391E-07		
Other: Continuous	2	4.81671322421391E-07		
Other: Simple Mask with saline	2	4.81671322421391E-07		
Other: simple mask + nasal cannula	2	4.81671322421391E-07		
Other: nasal hood with 3L O2 and 3 L N2O	2	4.81671322421391E-07		
Other: NC and BBO2	2	4.81671322421391E-07		
Other: Nitrous Mask	2	4.81671322421391E-07		
Other: Simple mask at 100% and NC at 3 L	2	4.81671322421391E-07		
Other: mistaken entry	2	4.81671322421391E-07		
Other: NC + Neb	2	4.81671322421391E-07		
Other: via airway	2	4.81671322421391E-07		
Other: O2 through NC at bedside, using it when sleeping	2	4.81671322421391E-07		
Other: Admit to 7N	2	4.81671322421391E-07		
Other: hummidiified O2	2	4.81671322421391E-07		
Other: BB 02 via FM	2	4.81671322421391E-07		
Other: RA humidified trach collar	2	4.81671322421391E-07		
Other: NC into oral airway	2	4.81671322421391E-07		
Other: Continuous Albuterol tx.	2	4.81671322421391E-07		
Other: RA Trach mist	2	4.81671322421391E-07		
