ODD FiO2 entries	Count	Percentage	Percentage included	Map to
Other: humidified O2 via blow by for comfort	4	6.46180274927091E-07		
Other: shovel mask 100% O2	4	6.46180274927091E-07		
Other: HeliOx 75/25	4	6.46180274927091E-07		
Other: DB BLOW- BY 70%	4	6.46180274927091E-07		
Other: Ventilated with Heliox	4	6.46180274927091E-07		
Other: HME valve	4	6.46180274927091E-07		
Other: Trach Capped	4	6.46180274927091E-07		
Other: 02s via bag mask	4	6.46180274927091E-07		
Other: SHOVEL MASK	4	6.46180274927091E-07		
Other: Peak flow 360 L/M	4	6.46180274927091E-07		
Other: blowby and nasal cannula	4	6.46180274927091E-07		
Other: end tital	4	6.46180274927091E-07		
Other: HME trach, with 1 liter O2.	4	6.46180274927091E-07		
Other: 1 L NC	4	6.46180274927091E-07		
Other: pt on RA\	4	6.46180274927091E-07		
Other: simple face mask.	4	6.46180274927091E-07		
Other: low-flow nasal cannula	4	6.46180274927091E-07		
Other: jackson reese by anesthesia	4	6.46180274927091E-07		
Other: NC ETCO2	4	6.46180274927091E-07		
Other: airlife pedi o2 mask (concentration mask)	4	6.46180274927091E-07		
Other: home humidification system	4	6.46180274927091E-07		
Other: continuous albuterol via CPAP	4	6.46180274927091E-07		
Other: NIPPV.	4	6.46180274927091E-07		
Other: nasalcanula	4	6.46180274927091E-07		
Other: 1 liter NC	4	6.46180274927091E-07		
Other: 1 L	4	6.46180274927091E-07		
Other: 100% Non-rebreather	4	6.46180274927091E-07		
Other: hand bag/ETT	4	6.46180274927091E-07		
Other: speaking valve w/o2	4	6.46180274927091E-07		
Other: 1.5 L 02 via nasal cannula	3	4.84635206195318E-07		
Other: double barrel BB	3	4.84635206195318E-07		
Other: HFVJ	3	4.84635206195318E-07		
Other: albuterol blow by	3	4.84635206195318E-07		
Other: FAce mask	3	4.84635206195318E-07		
Other: neb running	3	4.84635206195318E-07		
Other: n	3	4.84635206195318E-07		
Other: HME w/O2	3	4.84635206195318E-07		
Other: humidified  mist & mask	3	4.84635206195318E-07		
Other: intubation	3	4.84635206195318E-07		
Other: bag ventilation by anesthesia	3	4.84635206195318E-07		
Other: nose on	3	4.84635206195318E-07		
Other: single barrel blowby	3	4.84635206195318E-07		
Other: NC 1 lpm	3	4.84635206195318E-07		
Other: shovel mask with O2	3	4.84635206195318E-07		
Other: trach collar with humidified air	3	4.84635206195318E-07		
Other: BAG MASK with occational cpap	3	4.84635206195318E-07		
Other: bagging intubated	3	4.84635206195318E-07		
Other: passy muir with 2 L	3	4.84635206195318E-07		
Other: HME via trach	3	4.84635206195318E-07		
Other: humidified O2 via speaking valve	3	4.84635206195318E-07		
Other: 0.1	3	4.84635206195318E-07		
Other: 1L by NC	3	4.84635206195318E-07		
Other: nasal Cannula	3	4.84635206195318E-07		
Other: 1/2 L nasal cannula	3	4.84635206195318E-07		
Other: nasal cannula and face mask	3	4.84635206195318E-07		
Other: Blow By	3	4.84635206195318E-07		
awake, resting	3	4.84635206195318E-07		
Other: nc 3 L o2	3	4.84635206195318E-07		
Other: Bag-ETT	3	4.84635206195318E-07		
Other: PMV with oxygen port	3	4.84635206195318E-07		
Other: nasal c annula	3	4.84635206195318E-07		
Other: via bipap	3	4.84635206195318E-07		
Other: Hand ventilation	3	4.84635206195318E-07		
Other: n cannula	3	4.84635206195318E-07		
Other: Humidified Room air	3	4.84635206195318E-07		
Other: high fi	3	4.84635206195318E-07		
Other: Fi02	3	4.84635206195318E-07		
Other: modified nrb	3	4.84635206195318E-07		
Other: HME while PO feeding	3	4.84635206195318E-07		
Other: v	3	4.84635206195318E-07		
Other: mask cpap	3	4.84635206195318E-07		
Other: humidified air at this time	3	4.84635206195318E-07		
Other: Ambu Bag	3	4.84635206195318E-07		
Other: nebulizer with mask	3	4.84635206195318E-07		
Other: pt off bipap resting comfortably	3	4.84635206195318E-07		
Other: combineb in progress	3	4.84635206195318E-07		
Other: facemask and nasal airway	3	4.84635206195318E-07		
Other: 40% Shovel Mask	3	4.84635206195318E-07		
Other: humidified BBO2	3	4.84635206195318E-07		
Other: with humidity	3	4.84635206195318E-07		
Other: abag held to face	3	4.84635206195318E-07		
Other: SCOOP	3	4.84635206195318E-07		
Other: trach colar	3	4.84635206195318E-07		
Other: NC1L	3	4.84635206195318E-07		
Other: Blow By for comfort	3	4.84635206195318E-07		
Other: 10l	3	4.84635206195318E-07		
Other: TC double barrel	3	4.84635206195318E-07		
9	3	4.84635206195318E-07		
Other: ool humidified mist	3	4.84635206195318E-07		
Other: 2lnp	3	4.84635206195318E-07		
Other: O2 by humidified blow by	3	4.84635206195318E-07		
Other: neb txt	3	4.84635206195318E-07		
Other: bubble mask	3	4.84635206195318E-07		
Other: humidivent	3	4.84635206195318E-07		
Other: cont neb stopped	3	4.84635206195318E-07		
Other: low nasal cannula	3	4.84635206195318E-07		
Other: modified nasal canula with pacifier	3	4.84635206195318E-07		
Other: 3LNC & 40% Face tent.	3	4.84635206195318E-07		
Other: .5 L NC	3	4.84635206195318E-07		
Other: ambu baqg ETT	3	4.84635206195318E-07		
Other: neb treatment, sat to be repeated	3	4.84635206195318E-07		
Other: heliox/coninuous albuterol	3	4.84635206195318E-07		
Other: Heliox/continuous albuterol	3	4.84635206195318E-07		
Other: high flow	3	4.84635206195318E-07		
Other: HME on	3	4.84635206195318E-07		
Other: HF	3	4.84635206195318E-07		
Other: Hifov	3	4.84635206195318E-07		
Other: humidified O2 scoop mask	3	4.84635206195318E-07		
Other: Humidified O2 via blow by	3	4.84635206195318E-07		
Other: vent & rotoflow oxygenator	3	4.84635206195318E-07		
Other: cool  mist	3	4.84635206195318E-07		
Other: Continuous cool mist	3	4.84635206195318E-07		
Other: speaking valve on	3	4.84635206195318E-07		
Other: nebulizer with nc	3	4.84635206195318E-07		
Other: room air, swedish nose on	3	4.84635206195318E-07		
Other: nasal cannula w/ prongs cut off	3	4.84635206195318E-07		
Other: home CPAP machine trial for 2 hrs	3	4.84635206195318E-07		
Other: NS Neb4	3	4.84635206195318E-07		
Other: nebulizer treatment-	3	4.84635206195318E-07		
Other: HME at 1.5 liters	3	4.84635206195318E-07		
Other: 4 LNC, NRB	3	4.84635206195318E-07		
Other: nebulized albuterol	3	4.84635206195318E-07		
Other: neb treatment-	3	4.84635206195318E-07		
Other: nasal cannula 2L/min	3	4.84635206195318E-07		
Other: atrovent nebulizer	3	4.84635206195318E-07		
Other: HMe	3	4.84635206195318E-07		
Other: HME Room air	3	4.84635206195318E-07		
Other: 1L via NC	3	4.84635206195318E-07		
Other: 12 Cm	3	4.84635206195318E-07		
120	3	4.84635206195318E-07		
Other: Neb up	3	4.84635206195318E-07		
Other: Double-barrel aerosol BLOWBY	3	4.84635206195318E-07		
Other: Mist via air	3	4.84635206195318E-07		
Other: blow by with humidity	3	4.84635206195318E-07		
Other: blow-by	3	4.84635206195318E-07		
Other: 2L nasal canula	3	4.84635206195318E-07		
Other: cool mist to face	3	4.84635206195318E-07		
Other: humidified air mask	3	4.84635206195318E-07		
Other: bag-ETT	3	4.84635206195318E-07		
Other: HVOV	3	4.84635206195318E-07		
Other: hand bag for desat	3	4.84635206195318E-07		
Other: Albuterol nebulizer	3	4.84635206195318E-07		
Other: trach collar with humidity	3	4.84635206195318E-07		
Other: O2 flow for apnea test	3	4.84635206195318E-07		
Other: isoforane	3	4.84635206195318E-07		
Other: CPAP/CONT ALB	3	4.84635206195318E-07		
Other: bipap and cont alb	3	4.84635206195318E-07		
Other: Other: 1.5 L NC per baseline +  face tent 40%	3	4.84635206195318E-07		
Other: vapotherm	3	4.84635206195318E-07		
Other: DB BLOW-By 70%	3	4.84635206195318E-07		
Other: trilogy vent	3	4.84635206195318E-07		
Other: 1/4 L nasal cannula	3	4.84635206195318E-07		
Other: 70% heliox, 30% 02	3	4.84635206195318E-07		
Other: cool mist o2	3	4.84635206195318E-07		
Other: nonrebreather.	3	4.84635206195318E-07		
Other: non rebreather via humidified O2	3	4.84635206195318E-07		
Other: Hand bag vent	3	4.84635206195318E-07		
Other: neb/saline	3	4.84635206195318E-07		
Other: humidified blow by mist	3	4.84635206195318E-07		
Other: nc 2 l/m.	3	4.84635206195318E-07		
Other: 02	3	4.84635206195318E-07		
Other: shovel  mask	3	4.84635206195318E-07		
Other: passymuir	3	4.84635206195318E-07		
Other: n/c @ 1L & BBO2	3	4.84635206195318E-07		
Other: 4L n/c & BBO2	3	4.84635206195318E-07		
Other: no rebreather	3	4.84635206195318E-07		
Other: nasal canula.	3	4.84635206195318E-07		
Other: bag mask ventilated by ICU fellow	3	4.84635206195318E-07		
Other: Shovel Mask.	3	4.84635206195318E-07		
Other: assitied bag mask	3	4.84635206195318E-07		
Other: NC 2 lpm	3	4.84635206195318E-07		
Other: humidified o2 venti mask	3	4.84635206195318E-07		
Other: blow by mask not near face	3	4.84635206195318E-07		
Other: nasdal canula @ 2l/min and blow by	3	4.84635206195318E-07		
Other: humidified O2 BB	3	4.84635206195318E-07		
Other: NASAL CANULA	3	4.84635206195318E-07		
Other: 4L nasal canula	3	4.84635206195318E-07		
Other: nasal cannula 1 liter	3	4.84635206195318E-07		
Other: Pt with mask on from neb	3	4.84635206195318E-07		
Other: BB	3	4.84635206195318E-07		
Other: racemic neb	3	4.84635206195318E-07		
Other: heliox + conts albuterol	3	4.84635206195318E-07		
Other: cpap and cont alb	3	4.84635206195318E-07		
Other: nasal cannul;a	3	4.84635206195318E-07		
Other: Jet ventilation	3	4.84635206195318E-07		
Other: Nasal cannula 1L	3	4.84635206195318E-07		
Other: flow-meter blender	3	4.84635206195318E-07		
Other: humidified 02 through trach	3	4.84635206195318E-07		
Other: Home oxygen tank that read delivery of 02 at 50cc/v	3	4.84635206195318E-07		
Other: Mom states not needed tonight. Nursing aware.	3	4.84635206195318E-07		
Other: Off cont. neb @ 6;00 am	3	4.84635206195318E-07		
Other: HELIOX with CONT ALBUTEROL	3	4.84635206195318E-07		
Other: double barrow	3	4.84635206195318E-07		
Other: Trach Collar mist	3	4.84635206195318E-07		
Other: cont nebs-	3	4.84635206195318E-07		
Other: Albuterol neb treatment	3	4.84635206195318E-07		
Other: nasal trumpet with blow by	3	4.84635206195318E-07		
Other: Aerosol mask	3	4.84635206195318E-07		
Other: spkng valve	3	4.84635206195318E-07		
Other: combivent neb	3	4.84635206195318E-07		
Other: ett tube	3	4.84635206195318E-07		
Other: 1.5 Liters	3	4.84635206195318E-07		
Other: single barrel fm	3	4.84635206195318E-07		
Other: humidified O2 via face mask	3	4.84635206195318E-07		
Other: Trach collar	3	4.84635206195318E-07		
Other: SCoop Mask	3	4.84635206195318E-07		
Other: NC at 1 L	3	4.84635206195318E-07		
Other: blow by with room air for humidified air	3	4.84635206195318E-07		
Other: nasal cannuila	3	4.84635206195318E-07		
Other: humiified mask	3	4.84635206195318E-07		
Other: O2 changed to humidified blow-by	3	4.84635206195318E-07		
Other: 0.5LNC	3	4.84635206195318E-07		
Other: oximizer	3	4.84635206195318E-07		
Other: Trilogy 200	3	4.84635206195318E-07		
Other: Blow by O2	3	4.84635206195318E-07		
Other: face mask with blow by	3	4.84635206195318E-07		
Other: PPV bag and mask	3	4.84635206195318E-07		
Other: bipap with cont albuterol	3	4.84635206195318E-07		
Other: CPAP	3	4.84635206195318E-07		
crying	3	4.84635206195318E-07		
Other: HME at 1.5L	3	4.84635206195318E-07		
Other: PM	3	4.84635206195318E-07		
Other: humidified O2 40%	3	4.84635206195318E-07		
Other: ventilator nasal cpap	3	4.84635206195318E-07		
Other: bb mist	3	4.84635206195318E-07		
Other: NC/1l	3	4.84635206195318E-07		
Other: 3l via nc AND 35%VIA FACE MASK	3	4.84635206195318E-07		
Other: scoop mask\	3	4.84635206195318E-07		
Other: 50% humidified oxygen	3	4.84635206195318E-07		
Other: Neb given	3	4.84635206195318E-07		
Other: canula	3	4.84635206195318E-07		
Other: PPV	3	4.84635206195318E-07		
Other: double barrel high flow with shovel mask	3	4.84635206195318E-07		
Other: Nasal cannula and mist tent	3	4.84635206195318E-07		
Other: Humidified O2 scoop	3	4.84635206195318E-07		
Other: NC 2L 02	3	4.84635206195318E-07		
Other: plain facemask	3	4.84635206195318E-07		
Other: humidified oxygen via mask	3	4.84635206195318E-07		
Other: Saline neb	3	4.84635206195318E-07		
Other: Pedi-Face mask	3	4.84635206195318E-07		
Other: ambu bag at 10L/min flow for apnea test	3	4.84635206195318E-07		
Other: HIfI	3	4.84635206195318E-07		
Other: MCGOVERN PACIFIER	3	4.84635206195318E-07		
Other: continous nebs	3	4.84635206195318E-07		
Other: non rebreather 10L	3	4.84635206195318E-07		
Other: SME	3	4.84635206195318E-07		
Other: passy muir speaking valve	3	4.84635206195318E-07		
Other: speach valve	3	4.84635206195318E-07		
Other: HME with 02	3	4.84635206195318E-07		
Other: with nitrous mask	3	4.84635206195318E-07		
Other: trach. capped	3	4.84635206195318E-07		
Other: Racemic neb	3	4.84635206195318E-07		
Other: .5L NC	3	4.84635206195318E-07		
Other: continous alb/heliox	3	4.84635206195318E-07		
Other: unineb in progress	3	4.84635206195318E-07		
Other: humidified blow by oxygen	3	4.84635206195318E-07		
Other: humidified air via blowby	3	4.84635206195318E-07		
Other: nasal canula and blowby	3	4.84635206195318E-07		
Other: HME over trach	3	4.84635206195318E-07		
Other: Heliox/Cont Alb	3	4.84635206195318E-07		
Other: Nasel Canula 2L	3	4.84635206195318E-07		
Other: MASK	3	4.84635206195318E-07		
Other: albuterol treatment	3	4.84635206195318E-07		
Other: mist cube- for humidification	3	4.84635206195318E-07		
Other: trach bag ventilation	3	4.84635206195318E-07		
Other: Simole Face Mas	3	4.84635206195318E-07		
Other: oxygen thru HME	3	4.84635206195318E-07		
Other: cool mist RA	3	4.84635206195318E-07		
Other: peep	3	4.84635206195318E-07		
Other: humiified blow by	3	4.84635206195318E-07		
Other: one liter NC	3	4.84635206195318E-07		
Other: hand ventilated	3	4.84635206195318E-07		
Other: RT using amb bag	3	4.84635206195318E-07		
Other: Bag/mask	3	4.84635206195318E-07		
Other: NC 2l	3	4.84635206195318E-07		
Other: Neb being given.	3	4.84635206195318E-07		
Other: 5 liter NC	3	4.84635206195318E-07		
17	3	4.84635206195318E-07		
Other: humidified shovel mask blowby	3	4.84635206195318E-07		
Other: humidified Oxygen	3	4.84635206195318E-07		
Other: pcv/ram	3	4.84635206195318E-07		
Other: Nebulizer mask	3	4.84635206195318E-07		
Other: heliox continous albuterol	3	4.84635206195318E-07		
Other: using coughlator	3	4.84635206195318E-07		
Other: puff and sip	3	4.84635206195318E-07		
Other: home bipap	3	4.84635206195318E-07		
Other: sip-puff	3	4.84635206195318E-07		
Other: continuous neb discontinued	3	4.84635206195318E-07		
Other: 1	3	4.84635206195318E-07		
Other: NASAL CANUAL	3	4.84635206195318E-07		
Other: simple mask @ 10L	3	4.84635206195318E-07		
Other: nasal pillow	3	4.84635206195318E-07		
Other: NC 3 L	3	4.84635206195318E-07		
Other: continuous	3	4.84635206195318E-07		
Other: nassal canula	3	4.84635206195318E-07		
Other: 2.5L	3	4.84635206195318E-07		
Other: Non Rebreather as Blow by	3	4.84635206195318E-07		
Other: bag mask ventilated	3	4.84635206195318E-07		
Other: manual anesthesia bag by RT	3	4.84635206195318E-07		
Other: 3 liters nasal cannula	3	4.84635206195318E-07		
Other: blow by away from face	3	4.84635206195318E-07		
Other: switching between nc 0.5L/min and BBO2	3	4.84635206195318E-07		
Other: neb treatments	3	4.84635206195318E-07		
Other: face mask at 4 liters	3	4.84635206195318E-07		
Other: O2 cannulla at 3l/min	3	4.84635206195318E-07		
Other: assissted, bagged	3	4.84635206195318E-07		
Other: Humidification	3	4.84635206195318E-07		
Other: double barrel shovel mask	3	4.84635206195318E-07		
Other: neb infusing	3	4.84635206195318E-07		
Other: Hand bagged	3	4.84635206195318E-07		
Other: ETT bag	3	4.84635206195318E-07		
Other: face mask single barrel	3	4.84635206195318E-07		
Other: Hand Bagging	3	4.84635206195318E-07		
Other: anesthia bag per trach	3	4.84635206195318E-07		
Other: cool mis	2	3.23090137463545E-07		
Other: plain face mask	2	3.23090137463545E-07		
Other: 100% Fio2 via ambu	2	3.23090137463545E-07		
Other: Nasal canunula	2	3.23090137463545E-07		
Other: mask assist w/bag	2	3.23090137463545E-07		
Other: shovel maask witth humidity	2	3.23090137463545E-07		
Other: 0.5	2	3.23090137463545E-07		
Other: ncanulla	2	3.23090137463545E-07		
Other: OFF BiPAP	2	3.23090137463545E-07		
Other: cont.neb	2	3.23090137463545E-07		
Other: nose collar	2	3.23090137463545E-07		
Other: MDI with spacer	2	3.23090137463545E-07		
Other: 0.25L NC	2	3.23090137463545E-07		
Other: nasal cannula 2 L	2	3.23090137463545E-07		
Other: Double barrel blow-by	2	3.23090137463545E-07		
Other: LLL	2	3.23090137463545E-07		
Other: abuterol nub	2	3.23090137463545E-07		
Other: hand bag/face mask	2	3.23090137463545E-07		
Other: double-barrel blow by	2	3.23090137463545E-07		
Other: NC 2 liters	2	3.23090137463545E-07		
Other: Face mask mist	2	3.23090137463545E-07		
Other: continuous nebs via trach collar	2	3.23090137463545E-07		
Other: BBO2/scoop mask over face	2	3.23090137463545E-07		
Other: cooling mist	2	3.23090137463545E-07		
Other: nasal cannula 4 L	2	3.23090137463545E-07		
Other: Ambu bag	2	3.23090137463545E-07		
Other: 2 liters nasal canula	2	3.23090137463545E-07		
Other: BiPap off at 9AM	2	3.23090137463545E-07		
Other: cool mist  blow by	2	3.23090137463545E-07		
Other: attempted CPAP	2	3.23090137463545E-07		
Other: hand/ambu bag/ETT	2	3.23090137463545E-07		
Other: neb adm	2	3.23090137463545E-07		
Other: 100% blowby	2	3.23090137463545E-07		
Other: saline nebulizer	2	3.23090137463545E-07		
Other: BB cool mist	2	3.23090137463545E-07		
Other: Nasal cannlua	2	3.23090137463545E-07		
Other: Double-barrel, aerosol mask.	2	3.23090137463545E-07		
Other: double-barrell face mask	2	3.23090137463545E-07		
Other: humidied blow by	2	3.23090137463545E-07		
Other: Speaking Valve w/ 02 port	2	3.23090137463545E-07		
Other: speaking valve and 1/4L 02	2	3.23090137463545E-07		
Other: 1/4 L 02 speaking valve	2	3.23090137463545E-07		
Other: hbv	2	3.23090137463545E-07		
Other: nasal BiPAP	2	3.23090137463545E-07		
Other: continuous racemic epi neb.	2	3.23090137463545E-07		
Other: Humidified O2 40% blowby	2	3.23090137463545E-07		
Other: nitrous off	2	3.23090137463545E-07		
Other: humidified O2 vi ablow by	2	3.23090137463545E-07		
Other: neb on	2	3.23090137463545E-07		
Other: humidified mist room air	2	3.23090137463545E-07		
Other: Heliox 60%	2	3.23090137463545E-07		
Other: Double barrell face mask	2	3.23090137463545E-07		
Other: humidified air via trach collar	2	3.23090137463545E-07		
Other: fish mask for nebulizer	2	3.23090137463545E-07		
Other: HME Collar	2	3.23090137463545E-07		
Other: NRB mask	2	3.23090137463545E-07		
Other: humidified O2 via facetent	2	3.23090137463545E-07		
Other: cap on trach	2	3.23090137463545E-07		
Other: home BIPAP	2	3.23090137463545E-07		
Other: HJFV	2	3.23090137463545E-07		
Other: HFOv	2	3.23090137463545E-07		
Other: heliox/cont. albuterol	2	3.23090137463545E-07		
Other: bagging by Resp.	2	3.23090137463545E-07		
Other: cool misr	2	3.23090137463545E-07		
Other: neb ulizer	2	3.23090137463545E-07		
Other: Humidified blow by	2	3.23090137463545E-07		
Other: neb treatment on o2	2	3.23090137463545E-07		
Other: hi-flo	2	3.23090137463545E-07		
Other: nose piece	2	3.23090137463545E-07		
Other: nasal cannula 3L	2	3.23090137463545E-07		
Other: himidified BBO2	2	3.23090137463545E-07		
Other: 2 liter nc.	2	3.23090137463545E-07		
Other: NC 6L	2	3.23090137463545E-07		
Other: Humidified O2 Blow-by	2	3.23090137463545E-07		
Other: Humidified blow-by	2	3.23090137463545E-07		
Other: off cpap	2	3.23090137463545E-07		
Other: oral airway and simple mask	2	3.23090137463545E-07		
Other: Shirley Speaking Valve	2	3.23090137463545E-07		
Other: nasal cannula, 1L	2	3.23090137463545E-07		
Other: Combi neb up per home regimen	2	3.23090137463545E-07		
Other: HVJV	2	3.23090137463545E-07		
Other: double barrel trach	2	3.23090137463545E-07		
Other: end-tital	2	3.23090137463545E-07		
Other: O2 mist for humidification	2	3.23090137463545E-07		
Other: ISOFLORANE	2	3.23090137463545E-07		
Other: BMV, entubated	2	3.23090137463545E-07		
Other: RA mist	2	3.23090137463545E-07		
Other: blowby and nasal trumpet	2	3.23090137463545E-07		
Other: Hfov	2	3.23090137463545E-07		
Other: CPAP held with mask	2	3.23090137463545E-07		
Other: hfvo	2	3.23090137463545E-07		
Other: Cap	2	3.23090137463545E-07		
Other: albuterol neb via trach	2	3.23090137463545E-07		
Other: norebreather	2	3.23090137463545E-07		
Other: N/C 2.5 L	2	3.23090137463545E-07		
Other: HME to trach	2	3.23090137463545E-07		
Other: trach stoma/HME	2	3.23090137463545E-07		
Other: sip & puff ventilation	2	3.23090137463545E-07		
Other: air flow	2	3.23090137463545E-07		
Other: HME 1.5L	2	3.23090137463545E-07		
Other: HFJT	2	3.23090137463545E-07		
Other: nitrous delivery mask	2	3.23090137463545E-07		
Other: S/T	2	3.23090137463545E-07		
Other: speaking valve w/3L bleed in	2	3.23090137463545E-07		
Other: 28% trach collar	2	3.23090137463545E-07		
Other: 100cc nasal cannula	2	3.23090137463545E-07		
Other: R/A	2	3.23090137463545E-07		
Other: 3LNC	2	3.23090137463545E-07		
Other: neb off	2	3.23090137463545E-07		
Other: 1L Nasal cannula	2	3.23090137463545E-07		
Other: vent neb	2	3.23090137463545E-07		
Other: other d	2	3.23090137463545E-07		
Other: nc 0.5liters	2	3.23090137463545E-07		
Other: speaking  valve	2	3.23090137463545E-07		
Other: passi muir	2	3.23090137463545E-07		
Other: neb treatment in progress	2	3.23090137463545E-07		
Other: HFNC and DB FM	2	3.23090137463545E-07		
Other: 50% Blow- By	2	3.23090137463545E-07		
Other: Trach colar	2	3.23090137463545E-07		
Other: see anesthesia record	2	3.23090137463545E-07		
Other: Nasal aspirator	2	3.23090137463545E-07		
Other: ramp cannula	2	3.23090137463545E-07		
Other: Pressure support	2	3.23090137463545E-07		
Other: intubated, bagging	2	3.23090137463545E-07		
Other: 100%	2	3.23090137463545E-07		
Other: Cont neb via trach collar	2	3.23090137463545E-07		
Other: Heli-ox	2	3.23090137463545E-07		
Other: CPAP/ALB	2	3.23090137463545E-07		
Other: 5.0 bivona trach	2	3.23090137463545E-07		
Other: Anesthesia	2	3.23090137463545E-07		
Other: simple mask over OA	2	3.23090137463545E-07		
Other: Nasal Cannula at 2L	2	3.23090137463545E-07		
Other: HUmidified O2 via blow by	2	3.23090137463545E-07		
Other: metaneb	2	3.23090137463545E-07		
Other: cool mist bbo2	2	3.23090137463545E-07		
Other: Simple	2	3.23090137463545E-07		
Other: NC and blowby	2	3.23090137463545E-07		
Other: 3/8L	2	3.23090137463545E-07		
Other: mouth piece with bipap	2	3.23090137463545E-07		
Other: non rebreather mask stimulated to breathe	2	3.23090137463545E-07		
Other: HMEw/ oxygen port	2	3.23090137463545E-07		
Other: 1.5L nc	2	3.23090137463545E-07		
Other: continous	2	3.23090137463545E-07		
Other: bag mask vent	2	3.23090137463545E-07		
Other: NEB.	2	3.23090137463545E-07		
Other: albuterol  Neb	2	3.23090137463545E-07		
Other: 60%	2	3.23090137463545E-07		
Other: nC	2	3.23090137463545E-07		
Other: Simple mask with Heliox	2	3.23090137463545E-07		
Other: BB O2 Mist	2	3.23090137463545E-07		
Other: face mask with nasal trumpet in place	2	3.23090137463545E-07		
Other: simple mask on 0.5L O2 along w/ 2.5L NC	2	3.23090137463545E-07		
Other: a-bag to face	2	3.23090137463545E-07		
Other: HME/vent	2	3.23090137463545E-07		
Other: HME. Dad will switch to trach collar once patient asleep.	2	3.23090137463545E-07		
Other: humidifed FM	2	3.23090137463545E-07		
Other: hME	2	3.23090137463545E-07		
Other: HME- no oxygen	2	3.23090137463545E-07		
Other: hifi ventilator	2	3.23090137463545E-07		
Other: nebulizwe	2	3.23090137463545E-07		
Other: continuous albuterol via Heliox	2	3.23090137463545E-07		
Other: repositioned, blow by applied. NP aware	2	3.23090137463545E-07		
Other: neb and ambu	2	3.23090137463545E-07		
Other: nsal canula	2	3.23090137463545E-07		
Other: 2 L O2 via NC	2	3.23090137463545E-07		
Other: 28%FM	2	3.23090137463545E-07		
Other: albuterol neb up	2	3.23090137463545E-07		
Other: double barrell blow by mask set up	2	3.23090137463545E-07		
Other: fio2 28%	2	3.23090137463545E-07		
Other: trach collar.	2	3.23090137463545E-07		
Other: Abag	2	3.23090137463545E-07		
Other: 2l nc	2	3.23090137463545E-07		
Other: Passe Muir Valve	2	3.23090137463545E-07		
Other: nasal cannula @ 2L	2	3.23090137463545E-07		
Other: speaking valve in place	2	3.23090137463545E-07		
Other: nasal canula 2 liters	2	3.23090137463545E-07		
Other: HME 1.5 L	2	3.23090137463545E-07		
Other: cont. alb neb	2	3.23090137463545E-07		
Other: face maskl	2	3.23090137463545E-07		
Other: huidified blow by	2	3.23090137463545E-07		
Other: hummidified blow by	2	3.23090137463545E-07		
Other: isoflorene	2	3.23090137463545E-07		
Other: sleep study adapter	2	3.23090137463545E-07		
Other: humified mist	2	3.23090137463545E-07		
Other: Trilogy	2	3.23090137463545E-07		
Other: ambu positive pressure	2	3.23090137463545E-07		
Other: humidified RA via trach collar	2	3.23090137463545E-07		
Other: Uni neb in progress	2	3.23090137463545E-07		
Other: continuous saline neb	2	3.23090137463545E-07		
Other: Trilogy Sip and Puff	2	3.23090137463545E-07		
Other: Humidified O2 via blowby	2	3.23090137463545E-07		
Other: other HME	2	3.23090137463545E-07		
Other: positive pressure held via A-bag	2	3.23090137463545E-07		
Other: 28 % mist cube	2	3.23090137463545E-07		
Other: intubated 3.5 tracheal tube 12 at lip	2	3.23090137463545E-07		
Other: HME with humidified O2 to trach 3.5 Bivona TTS	2	3.23090137463545E-07		
Other: ns neb	2	3.23090137463545E-07		
Other: Anesthesia bag/mask	2	3.23090137463545E-07		
Other: humidified o2 face tent	2	3.23090137463545E-07		
Other: neb mask with O2	2	3.23090137463545E-07		
Other: bag mask\	2	3.23090137463545E-07		
Other: 1.0L nasal cannula	2	3.23090137463545E-07		
Other: nebulizer treatment running	2	3.23090137463545E-07		
Other: discontinued	2	3.23090137463545E-07		
Other: passymuir valve	2	3.23090137463545E-07		
6	2	3.23090137463545E-07		
Other: hand Bag	2	3.23090137463545E-07		
59	2	3.23090137463545E-07		
Other: d/c'd	2	3.23090137463545E-07		
Other: Patient has been non compliant with wearing the mask off and on all night. Also has 50% Blow By running because of compliance issues.	2	3.23090137463545E-07		
89	2	3.23090137463545E-07		
Other: albuterol neb.	2	3.23090137463545E-07		
Other:  simple  msk	2	3.23090137463545E-07		
Other: positive pressure ventilation by anes md	2	3.23090137463545E-07		
Other: AMBU bag	2	3.23090137463545E-07		
Other: holding bipap mask periodically to face	2	3.23090137463545E-07		
Other: HME with no oxygen	2	3.23090137463545E-07		
Other: Trach is capped	2	3.23090137463545E-07		
Other: Passy-Muir Valve	2	3.23090137463545E-07		
Other: Home Bipap	2	3.23090137463545E-07		
Other: Scoop mask with double barrel FiO2	2	3.23090137463545E-07		
Other: HOV	2	3.23090137463545E-07		
Other: Mist tube	2	3.23090137463545E-07		
Blow-By, Other: scoop mask	2	3.23090137463545E-07		
Other: 1.5 liters O2 NC	2	3.23090137463545E-07		
Other: double-barrel high flow face tent	2	3.23090137463545E-07		
Other: humidified oxygen via blow-by	2	3.23090137463545E-07		
Other: 2LPM NC with 50% BBO2	2	3.23090137463545E-07		
Other: double barrel on trach collar mist	2	3.23090137463545E-07		
asleep	2	3.23090137463545E-07		
Pt. asleep in bed	2	3.23090137463545E-07		
