Airway Assessment entries	Count	Percentage	Percentage included	Map to
No compromise, Other: snoring while asleep due to mucousitis	4	6.86961454421052E-07		
Other: s/p T&A,BMT,s hx OSA	4	6.86961454421052E-07		
Other: hx of tracheal malacia, s/p tracheal slide procedure	4	6.86961454421052E-07		
Positional, Stridorous, Other: stridor, positional, requires frequent oral suctioning	4	6.86961454421052E-07		
Other: oral cavity venous malformation	4	6.86961454421052E-07		
No compromise, Other: mucousitis	4	6.86961454421052E-07		
No compromise, Other: sl stridor when crying	4	6.86961454421052E-07		
Other: hx larynogmalacia s/p supraglottoplasty. positional mild stridor noted	4	6.86961454421052E-07		
Other: cpap prongs in-	4	6.86961454421052E-07		
Positional, Stridorous, Other: obstructing	4	6.86961454421052E-07		
No compromise, Other: hx of floppy airway	4	6.86961454421052E-07		
No compromise, Other: hx floppy airway	4	6.86961454421052E-07		
Edematous, Positional, Other: s/p T&A	4	6.86961454421052E-07		
No compromise, Stridorous, Other: Occasional Stridor	4	6.86961454421052E-07		
No compromise, Other: Thick oral secretions/pooling secretions.  h/o nose bleeds.	4	6.86961454421052E-07		
Endotracheal tube, Nasopharyngeal airway, Other: cleft palate	4	6.86961454421052E-07		
No compromise, Other: mild obstruction	4	6.86961454421052E-07		
No compromise, Other: s/p tounge lip	4	6.86961454421052E-07		
No compromise, Other: POD#2 for supraglottoplasty and laser of AE folds;  occasional upper airway congestion present/occasional cough	4	6.86961454421052E-07		
Endotracheal tube, Stridorous, Tenuous	4	6.86961454421052E-07		
Other: snoring in some positions	4	6.86961454421052E-07		
No compromise, Other: Palatal packing in place, copious secretions	4	6.86961454421052E-07		
Stridorous, Other: intermittent stridor, positional	4	6.86961454421052E-07		
Positional, Stridorous, Other: requires soft C-collar due to stridor	4	6.86961454421052E-07		
Other: moderate amount of upper airway obstruction, unable to manage own secretions	4	6.86961454421052E-07		
No compromise, Other: mild inspiratory stridor	4	6.86961454421052E-07		
No compromise, Other: absent RM RU lobe	4	6.86961454421052E-07		
Other: mild upper airway congestion	4	6.86961454421052E-07		
No compromise, Other: CPAp	4	6.86961454421052E-07		
No compromise, Other: difficult airway, noisy breathing per baseline with no s/s respiratory distress	4	6.86961454421052E-07		
No compromise, Other: baseline audible insp stridor	4	6.86961454421052E-07		
Other: noises i=on inhalation/	4	6.86961454421052E-07		
Other: vocal cord paresis	4	6.86961454421052E-07		
Patent, Tracheal midline shift	4	6.86961454421052E-07		
Stridorous, Other: Hx of tracheomalasia- when crying, stridulous	4	6.86961454421052E-07		
No compromise, Other: Oral airway in place	4	6.86961454421052E-07		
No compromise, Other: clear runny nose	4	6.86961454421052E-07		
Other: mild grunting, upper airway stridor	4	6.86961454421052E-07		
No compromise, Other: + dry cough intermittent	4	6.86961454421052E-07		
Other: Tracheomalacia. stridor noted w/ crying	4	6.86961454421052E-07		
Other: tracheostomy stoma present	4	6.86961454421052E-07		
Other: very mild stridor	4	6.86961454421052E-07		
Other: ETT in stoma. placed for surgery. Measured at about 5 cm mark at stoma opening	4	6.86961454421052E-07		
No compromise, Other: NP airway removed	4	6.86961454421052E-07		
Positional, Other: on left side	4	6.86961454421052E-07		
No compromise, Other: Mild rhinnorea	4	6.86961454421052E-07		
No compromise, Other: mild stridor when upset	4	6.86961454421052E-07		
Positional, Other: Continuous O2 and BIPAP during rest. Patient dyspneic upon movement and ambulation	4	6.86961454421052E-07		
Endotracheal tube, Other: esophageal strictures, NG tube to maintain patency of stricture	4	6.86961454421052E-07		
No compromise, Other: pneumothorax per CXR	4	6.86961454421052E-07		
Stridorous, Other: baseline per mom	4	6.86961454421052E-07		
Other: large tonge tumor	4	6.86961454421052E-07		
Critical, Other: mediastinal mass r/t neuroblastoma	4	6.86961454421052E-07		
"No compromise, Other: + UAC, ""squeeky"" vocalizations appreciated. Question stridor present"	4	6.86961454421052E-07		
Other: enlarged tonsils	4	6.86961454421052E-07		
No compromise, Other: critical g III/IV airway	4	6.86961454421052E-07		
Other: History of TEF repair	4	6.86961454421052E-07		
No compromise, Vocal cord paralysis, Other: stridor	4	6.86961454421052E-07		
Nasopharyngeal airway, Other: on bipap for obstructive respiratory pattern	4	6.86961454421052E-07		
Other: hoarse cough	4	6.86961454421052E-07		
No compromise, Stridorous, Other: hx tracheal stenosis	4	6.86961454421052E-07		
No compromise, Other: Hoarse, weak cry	4	6.86961454421052E-07		
Other: pulmonary hypoplasia, o2 dependent	4	6.86961454421052E-07		
Other: hypotonia/ Bi-pap	4	6.86961454421052E-07		
Other: s/p TEF repair s/p larnygeal cleft repair	4	6.86961454421052E-07		
Nasopharyngeal airway, Other: nasal stents	4	6.86961454421052E-07		
Edematous, Endotracheal tube, Tracheostomy	4	6.86961454421052E-07		
No compromise, Other: intermittent stridorous noises	4	6.86961454421052E-07		
No compromise, Stridorous, Other: mild stridor while crying/feeding, md aware. none at rest/asleep. no intervention at this time per md	4	6.86961454421052E-07		
Other: HX of laryngeal cleft	4	6.86961454421052E-07		
Critical, Patent, Stridorous, Other: at times	4	6.86961454421052E-07		
Critical, Patent, Other: neck mass	4	6.86961454421052E-07		
Tracheostomy, Vocal cord paralysis, Other:	4	6.86961454421052E-07		
Other: mild inspiratory stridor, history of laryngomalacia	4	6.86961454421052E-07		
Other: hint of stridor hx of tracheomalcia	4	6.86961454421052E-07		
No compromise, Other: tracheoesophageal fistula	4	6.86961454421052E-07		
Other: s/p laryngeal cleft repair	4	6.86961454421052E-07		
No compromise, Other: intermittent upper airway stridor sec to laryngomalacia	4	6.86961454421052E-07		
No compromise, Positional, Other: hx tracheal stenosis s/p dilation	4	6.86961454421052E-07		
Positional, Other: +snoring d/t OSH, baseline overnight 1-2LNC for OSA per MD	4	6.86961454421052E-07		
No compromise, Other: increased nasal and chest congestion	4	6.86961454421052E-07		
Other: Stoma covered with guaze and tegaderm	4	6.86961454421052E-07		
Stridorous, Other: layngealmalacia	4	6.86961454421052E-07		
Positional, Other: soft neck collar	4	6.86961454421052E-07		
Other: concern for airway compromise r/t tumor progression	4	6.86961454421052E-07		
Other: +epiglottitis	4	6.86961454421052E-07		
Positional, Other: upper airway congestion, snoring	4	6.86961454421052E-07		
No compromise, Other: Inspiratory stridor noted at times; not new	4	6.86961454421052E-07		
Stridorous, Other: Baseline	4	6.86961454421052E-07		
No compromise, Other: stridor with distress	4	6.86961454421052E-07		
No compromise, Other: large translucent uvula	4	6.86961454421052E-07		
No compromise, Other: mild tracheomalasia	4	6.86961454421052E-07		
Edematous, Other: nasal trumpet	4	6.86961454421052E-07		
No compromise, Other: stridorous when increased WOB or crying	4	6.86961454421052E-07		
No compromise, Other: mom reports cough for 2 weeks	4	6.86961454421052E-07		
Other: shallow fast	4	6.86961454421052E-07		
Other: laryngeal cleft repaired	4	6.86961454421052E-07		
Other: sl obstructed	4	6.86961454421052E-07		
Other: Seasonal allergies per Mom- occasional productive cough and runny nose	4	6.86961454421052E-07		
No compromise, Patent, Positional, Other: neck roll for positioning	4	6.86961454421052E-07		
Positional, Other: very obstructive asleep on back, improved with turning patient to side	4	6.86961454421052E-07		
Other: increased WOB at times, wheeze and strider with feeds	4	6.86961454421052E-07		
Other: increased secretions; pt not always able to stimulate cough on own	4	6.86961454421052E-07		
No compromise, Other: Congestion improved since earlier in week	4	6.86961454421052E-07		
Stridorous, Other: s/p supraglotaplasty	4	6.86961454421052E-07		
Other: s/p TA, fresh blood on tongue	4	6.86961454421052E-07		
No compromise, Patent, Other: neck abscess on right side	4	6.86961454421052E-07		
Other: voice hoarse noproblems with resp.	4	6.86961454421052E-07		
Other: central sleep apnea, hx	4	6.86961454421052E-07		
No compromise, Tracheostomy, Other: Increased secretions that he is handling by spitting out into a bucket	4	6.86961454421052E-07		
No compromise, Other: used her inhalers this am	4	6.86961454421052E-07		
No compromise, Other: mild stridor with cry	4	6.86961454421052E-07		
Other: cleft palate,cleft lip	4	6.86961454421052E-07		
No compromise, Other: Pt recovering from vocal cord paralysis	4	6.86961454421052E-07		
Stridorous, Other: Stridor with aggitation	4	6.86961454421052E-07		
No compromise, Other: occasional hoarse cough	4	6.86961454421052E-07		
Other: mild insp stridor	4	6.86961454421052E-07		
Critical, Endotracheal tube, Other: s/p tracheal slide procedure	4	6.86961454421052E-07		
Other: inspiratory stridor	4	6.86961454421052E-07		
Positional, Other: tongued stitch	4	6.86961454421052E-07		
No compromise, Other: questiohnable OSA	4	6.86961454421052E-07		
No compromise, Other: Vocal cord dysfunction	4	6.86961454421052E-07		
No compromise, Other: roomair sats 80-85	4	6.86961454421052E-07		
Other: CLEFT PALATE	4	6.86961454421052E-07		
No compromise, Stridorous, Other: positional stridor	4	6.86961454421052E-07		
No compromise, Vocal cord paralysis, Other: On BIPAP 12/8 R=20 FIO2 70%	4	6.86961454421052E-07		
Other: persistent cough	4	6.86961454421052E-07		
No compromise, Other: c/o throat pain and difficulty swallowing	3	5.15221090815789E-07		
Other: oral airway out	3	5.15221090815789E-07		
No compromise, Other: Lesions present in airway	3	5.15221090815789E-07		
No compromise, Other: mother and patient deny audible breathing, difficulty breathing or swallowing - no audible breathing on exam	3	5.15221090815789E-07		
No compromise, Other: congested, n/psx orally sx	3	5.15221090815789E-07		
Other: Pt airway improved, no upper airway wheeze, hoarse cough remains	3	5.15221090815789E-07		
Other: coarse tugging agitated	3	5.15221090815789E-07		
Other: has medistinal mass,  right chest tube draining serrosanguous drainage-lws	3	5.15221090815789E-07		
No compromise, Other: difuse wheezing and congestion anesthesia at the bedside assistant	3	5.15221090815789E-07		
No compromise, Tracheostomy, Other: cough	3	5.15221090815789E-07		
Other: Grade III airway on bipap	3	5.15221090815789E-07		
Positional, Other: pools oral secretions	3	5.15221090815789E-07		
Critical, Positional, Tenuous	3	5.15221090815789E-07		
No compromise, Other: HFNC @ 4L flow via nasal cannula.  Transiently tachypneic.	3	5.15221090815789E-07		
Endotracheal tube, Other: difficult intubation, per report	3	5.15221090815789E-07		
No compromise, Other: Off bipap briefly, which she tolerated well, no distress etc.	3	5.15221090815789E-07		
No compromise, Other: cold 2 weeks ago, finished antibiotics	3	5.15221090815789E-07		
Other: nasal prong bipap	3	5.15221090815789E-07		
No compromise, Other: Downs syndrome	3	5.15221090815789E-07		
No compromise, Other: occassional inspiratory stridor	3	5.15221090815789E-07		
Other: diminished breath sounds on right	3	5.15221090815789E-07		
No compromise, Other: hx tracheomalacia, cont pulse ox overnoc	3	5.15221090815789E-07		
Endotracheal tube, Other: upper airway congestion- chronic per parent report	3	5.15221090815789E-07		
No compromise, Other: LMA in placed	3	5.15221090815789E-07		
No compromise, Other: Naso=esophageal tube in place	3	5.15221090815789E-07		
Oropharyngeal airway, Other: obstructing intermittently, moaning with respirations	3	5.15221090815789E-07		
No compromise, Other: recent cough/ nasal congestion	3	5.15221090815789E-07		
No compromise, Other: stridulous with crying	3	5.15221090815789E-07		
No compromise, Other: prior trauma and palate reconstruction	3	5.15221090815789E-07		
No compromise, Tracheostomy, Other: +trach, extra trach at bedside, humidified O2 applied to trach	3	5.15221090815789E-07		
Other: clear rhinitis , coughing over weekend. No fever over weekend per Mom	3	5.15221090815789E-07		
No compromise, Other: croup-sounding cough	3	5.15221090815789E-07		
Other: congested upper airway breathing	3	5.15221090815789E-07		
No compromise, Positional, Other: Obstructive sleep apnea	3	5.15221090815789E-07		
No compromise, Other: wheezing, upper airway congestion noted, albuterol given	3	5.15221090815789E-07		
Positional, Other: inspiratory wheeze	3	5.15221090815789E-07		
Patent, Other: Bloody R nare	3	5.15221090815789E-07		
No compromise, Stridorous, Other: mild stridor with cry	3	5.15221090815789E-07		
Other: intermittent tridor @ baseline	3	5.15221090815789E-07		
No compromise, Other: +laryngomalacia	3	5.15221090815789E-07		
Other: crepitus left side .right	3	5.15221090815789E-07		
Other: mucousitis	3	5.15221090815789E-07		
No compromise, Other: BS sl down right side	3	5.15221090815789E-07		
Other: frequent cough with clear oralsecretions, suctioned	3	5.15221090815789E-07		
Positional, Stridorous, Other:	3	5.15221090815789E-07		
No compromise, Other: Choanal atresia,able to pass 5-6 FR catheter	3	5.15221090815789E-07		
No compromise, Other: upper airway congestion that clears w/cough	3	5.15221090815789E-07		
Other: Stridor w/ crying	3	5.15221090815789E-07		
Positional, Other: Vascular mass in post cricord region	3	5.15221090815789E-07		
No compromise, Other: snoring when asleep	3	5.15221090815789E-07		
No compromise, Other: baseline on 4L o2	3	5.15221090815789E-07		
Stridorous, Other: with crying otherwise quiet	3	5.15221090815789E-07		
Other: Stridor-mild	3	5.15221090815789E-07		
Other: Cleft palate	3	5.15221090815789E-07		
Other: surgical siteoral appliance in place	3	5.15221090815789E-07		
No compromise, Other: intermittent stridor, especially audible while sleeping;	3	5.15221090815789E-07		
No compromise, Other: grade IV view per anesthesia; LMA at bedside	3	5.15221090815789E-07		
Stridorous, Other: stridor at baseline d/t laryngomalacia	3	5.15221090815789E-07		
No compromise, Cervical spine immobilized, Stridorous, Other: mild stridor with crying/agitation	3	5.15221090815789E-07		
Other: Intermittent obstructive. Clears on own	3	5.15221090815789E-07		
Other: mildly stridorous when upright	3	5.15221090815789E-07		
Critical, Stridorous, Other: Tracheomalacia, laryngomalasia. Increased stridor when upset	3	5.15221090815789E-07		
No compromise, Other: / desats when sleeping/ repositions self to comfortable position	3	5.15221090815789E-07		
Critical, Positional, Other: Hoarse	3	5.15221090815789E-07		
Patent, Stridorous, Tracheostomy	3	5.15221090815789E-07		
Stridorous, Other: nasal CPAP	3	5.15221090815789E-07		
No compromise, Other: occasional stridor when awake per baseline	3	5.15221090815789E-07		
Edematous, Positional, Other: soft collar	3	5.15221090815789E-07		
No compromise, Other: roll under shoulders	3	5.15221090815789E-07		
Critical, Other: Critical airway per ICU nurse; unable to intubate orally	3	5.15221090815789E-07		
Other: copious nasal congestion	3	5.15221090815789E-07		
No compromise, Other: laryngomalagia per baseline.	3	5.15221090815789E-07		
No compromise, Other: s/p tracheal dilation and DL & bronch	3	5.15221090815789E-07		
No compromise, Other: occasional stridor when upset and crying	3	5.15221090815789E-07		
Other: unable to assess, pt being placed on ecmo	3	5.15221090815789E-07		
No compromise, Other: salem sump	3	5.15221090815789E-07		
Stridorous, Other: stridor when asleep  chronic continous hiccups	3	5.15221090815789E-07		
Vocal cord paralysis, Other: L vocal cord paralysis given in report from bay state	3	5.15221090815789E-07		
Other: mild stridor at times hx laryngomalacia	3	5.15221090815789E-07		
Oropharyngeal airway, Stridorous, Other: receiving CPAP from anesthesia	3	5.15221090815789E-07		
Other: right vocal cord paralysis	3	5.15221090815789E-07		
No compromise, Other: trachea midline	3	5.15221090815789E-07		
No compromise, Positional, Stridorous, Other: stridor while sleeping, no s/s of respiratory distress, no retractions, resolves when awake. On 1L NC as needed.	3	5.15221090815789E-07		
Other: large mass left neck	3	5.15221090815789E-07		
No compromise, Other: cough sx mucus emesis	3	5.15221090815789E-07		
No compromise, Other: asthma well controlled	3	5.15221090815789E-07		
No compromise, Other: cystic fibrosis	3	5.15221090815789E-07		
Critical, Other: critical due to location of disease	3	5.15221090815789E-07		
Other: SMA patient at baseline	3	5.15221090815789E-07		
Critical, Other: in blowby	3	5.15221090815789E-07		
Other: intermmitent stridor	3	5.15221090815789E-07		
Other: EA/ Tracheoamalcia	3	5.15221090815789E-07		
No compromise, Other: On 1L nasal cannula	3	5.15221090815789E-07		
Stridorous, Other: mild intermittent inspiratory stridor	3	5.15221090815789E-07		
Other: snoring and requiring supplemental O2 for hypoxia	3	5.15221090815789E-07		
Stridorous, Other: subglottic stenosis	3	5.15221090815789E-07		
Patent, Other: BiPAP	3	5.15221090815789E-07		
No compromise, Stridorous, Other: per baseline.	3	5.15221090815789E-07		
Endotracheal tube, Other: facial edema noted	3	5.15221090815789E-07		
Other: tracheal compression by mass	3	5.15221090815789E-07		
No compromise, Stridorous, Other: parents state this is her baseline	3	5.15221090815789E-07		
Tracheostomy, Other: tracheostomy site open, Mom will put trach in before going to OR	3	5.15221090815789E-07		
No compromise, Other: Noisy, baseline cough, per dad.	3	5.15221090815789E-07		
Positional, Stridorous, Other: intermittently stridorous	3	5.15221090815789E-07		
"No compromise, Other: pt c/o ""burning"" to lungs"	3	5.15221090815789E-07		
Endotracheal tube, Other: severe micrognathia s/p jaw distraction	3	5.15221090815789E-07		
No compromise, Tracheostomy, Other: old trach stoma covered with adhesive dressing	3	5.15221090815789E-07		
Other: decannulation at 2000	3	5.15221090815789E-07		
Tracheal midline shift, Other: tracheal deviation related to tumor mass in left chest wall	3	5.15221090815789E-07		
Positional, Other: Pierre Robin syndrome	3	5.15221090815789E-07		
No compromise, Other: Cpap	3	5.15221090815789E-07		
No compromise, Stridorous, Other: intermittent tachypnea and mild subcostal retractions -stridor with feeds.	3	5.15221090815789E-07		
No compromise, Stridorous, Other: stridorous at baseline	3	5.15221090815789E-07		
No compromise, Stridorous, Other: mild stridor at times.	3	5.15221090815789E-07		
Other: 3.0 NP Tuberetaped  R nares at the 6 diamond	3	5.15221090815789E-07		
No compromise, Other: pt occasionally with inspiratory stridor-like sound when asleep per report	3	5.15221090815789E-07		
Stridorous, Other: Stridorous while sleeping; no compromise when awake	3	5.15221090815789E-07		
Other: tounge swollen	3	5.15221090815789E-07		
Positional, Stridorous, Other: baseline	3	5.15221090815789E-07		
No compromise, Stridorous, Other: intermittent upper air obstruction	3	5.15221090815789E-07		
Stridorous, Other: copious oral secretions	3	5.15221090815789E-07		
Critical, Endotracheal tube, Vocal cord paralysis, Other: hx vocal cord paralysis	3	5.15221090815789E-07		
No compromise, Other: oral airway removed by CRNA in PACU	3	5.15221090815789E-07		
No compromise, Other: logan bow	3	5.15221090815789E-07		
Stridorous, Other: inspiratory stridor noted	3	5.15221090815789E-07		
Other: old trach scar, histroy of trach s/p decannulation 6/13, s/p laryngela stent and granulomatous resection.	3	5.15221090815789E-07		
Endotracheal tube, Other: closed stoma; decanulated 2013	3	5.15221090815789E-07		
No compromise, Other: history of asthma. Has not required Albuterol at home in 2 weeks per mother.	3	5.15221090815789E-07		
Other: upper congestion	3	5.15221090815789E-07		
No compromise, Other: mild cough	3	5.15221090815789E-07		
No compromise, Other: c/o swelling	3	5.15221090815789E-07		
Other: Pt with bloody secreations, requiring suctioning. Pt with upper airway congestion. Nasal breathing.	3	5.15221090815789E-07		
Other: potential of respiratory compromise r/t very large tumor burden in abdomen	3	5.15221090815789E-07		
"No compromise, Stridorous, Other: occasional inspiratory noise that sounds stridorous at times; patient with baseline ""very noisy breathing"" at home"	3	5.15221090815789E-07		
No compromise, Vocal cord paralysis, Other: stridor at baseline	3	5.15221090815789E-07		
Tracheostomy, Other: capped tracheostomy	3	5.15221090815789E-07		
Other: pt refused assessment	3	5.15221090815789E-07		
No compromise, Other: osa	3	5.15221090815789E-07		
Other: occ stridor noted with cough or sneeze	3	5.15221090815789E-07		
No compromise, Other: NC @ 0.5 L/min	3	5.15221090815789E-07		
Stridorous, Other: mild stridor noted when he is fussy	3	5.15221090815789E-07		
No compromise, Other: bilateral lung mets	3	5.15221090815789E-07		
No compromise, Other: positional while sleeping, occasional desat d/t OSA	3	5.15221090815789E-07		
Other: periform aperture stenosis	3	5.15221090815789E-07		
No compromise, Other: pt snoring while sleeping	3	5.15221090815789E-07		
No compromise, Other: barky cough but no stridor	3	5.15221090815789E-07		
No compromise, Other: noisy airway baseline	3	5.15221090815789E-07		
No compromise, Other: Copious secretions at baseline, .25L NC at baseline	3	5.15221090815789E-07		
Other: pleural effusion right lung, with Pigtail drain to Pleural vac, s/p XRT to esophagus	3	5.15221090815789E-07		
Other: tracheostomy decannulated, fistula dressed with bandaid	3	5.15221090815789E-07		
No compromise, Other: Easily clears airway with cough.	3	5.15221090815789E-07		
No compromise, Other: aseline O2 sats per mom range 65-83	3	5.15221090815789E-07		
No compromise, Other: + nasal congestion	3	5.15221090815789E-07		
Other: slightly coarse	3	5.15221090815789E-07		
Stridorous, Other: noisey breathing	3	5.15221090815789E-07		
No compromise, Other: When crying sounds coarse.	3	5.15221090815789E-07		
Positional, Other: pt can occasionally obstruct airway	3	5.15221090815789E-07		
No compromise, Other: ear infection upper respiratory symptoms cough	3	5.15221090815789E-07		
Other: obstrucitve	3	5.15221090815789E-07		
No compromise, Stridorous, Vocal cord paralysis, Other: left side vocal cord paralysis	3	5.15221090815789E-07		
Other: prod cough	3	5.15221090815789E-07		
Other: hypoactive gag reflex, improving	3	5.15221090815789E-07		
No compromise, Stridorous, Other: w/ feeding	3	5.15221090815789E-07		
Other: +Cough; On .25liter o2 nasal canula; +UAC bilaterally	3	5.15221090815789E-07		
Stridorous, Other: question cord weakness	3	5.15221090815789E-07		
Nasopharyngeal airway, Positional, Vocal cord paralysis	3	5.15221090815789E-07		
No compromise, Other: CF nebs/O2 o/n	3	5.15221090815789E-07		
No compromise, Cervical spine immobilized, Nasopharyngeal airway	3	5.15221090815789E-07		
Other: Mild oral mucositis, not significant per patient compared with history	3	5.15221090815789E-07		
Other: obstruction intermitten	3	5.15221090815789E-07		
Other: congenital nasal deformity	3	5.15221090815789E-07		
No compromise, Other: remains side lying	3	5.15221090815789E-07		
Other: Audible stridor when upset	3	5.15221090815789E-07		
Other: oozing blood	3	5.15221090815789E-07		
Other: Oral packing from cleft palate repair present/upper airway congestion	3	5.15221090815789E-07		
Other: Voice change	3	5.15221090815789E-07		
No compromise, Other: Baseline o2 requirment	3	5.15221090815789E-07		
No compromise, Other: stridorous especially when crying	3	5.15221090815789E-07		
No compromise, Other: s/p tonsillotomy and adenoidectomy	3	5.15221090815789E-07		
No compromise, Other: periodic breathing	3	5.15221090815789E-07		
Other: croupy cough no stridor	3	5.15221090815789E-07		
No compromise, Other: gave patient incentive spirometer to use q hour x10	3	5.15221090815789E-07		
Other: + OSA	3	5.15221090815789E-07		
Stridorous, Tenuous, Other:	3	5.15221090815789E-07		
Stridorous, Other: Stoma in anterior neck from old tracheostomy. Some air movement from site.	3	5.15221090815789E-07		
Other: Palate packing in place	3	5.15221090815789E-07		
Stridorous, Other: when asleep	3	5.15221090815789E-07		
No compromise, Other: CLD, BPD	3	5.15221090815789E-07		
Other: ineffective cough, ineffective gag reflex,	3	5.15221090815789E-07		
No compromise, Other: decannulation yesterday	3	5.15221090815789E-07		
No compromise, Vocal cord paralysis, Other: weak cough, some upper airway congestion audible	3	5.15221090815789E-07		
No compromise, Other: previous stridor. treatment received and stridor has lessened	3	5.15221090815789E-07		
Critical, Positional, Other: large tounge, grade I view	3	5.15221090815789E-07		
No compromise, Vocal cord paralysis, Other: left vocal cord paralysis	3	5.15221090815789E-07		
Positional, Other: Hx OSA	3	5.15221090815789E-07		
No compromise, Other: enlarged uvula. ORL provider (Holly) aware that swelling continues, pt to have additional dose of decadron ordered for 0430.	3	5.15221090815789E-07		
No compromise, Other: +mucositis	3	5.15221090815789E-07		
Stridorous, Other: Noisy breathing, Baseline for patient, compensating appropriately, MD aware	3	5.15221090815789E-07		
Positional, Other: stridorous when worked up post suctioning	3	5.15221090815789E-07		
No compromise, Other: loose congestion throughout, snoring, occ desat to 88%, RRR, non-labored, no retractions	3	5.15221090815789E-07		
No compromise, Positional, Other: copious secretions need to maintain head position and sxn prn	3	5.15221090815789E-07		
No compromise, Stridorous, Other: inspiratory stridor	3	5.15221090815789E-07		
Other: continuous cough which does not allow patient to take a normal inhalation and exhalation	3	5.15221090815789E-07		
Other: OSA - no baseline oxygen, bipap or cpap - HOB at 40 degree angle while asleep	3	5.15221090815789E-07		
Tracheostomy, Other: Montgomery Long term cannula	3	5.15221090815789E-07		
Positional, Other: requires chin lift	3	5.15221090815789E-07		
No compromise, Other: Obstructive--has soft collar; intermittently stridorous	3	5.15221090815789E-07		
No compromise, Other: Stridorous when asleep, not new	3	5.15221090815789E-07		
Stridorous, Other: prolonged expiratory phase	3	5.15221090815789E-07		
No compromise, Stridorous, Other: noisy breathing. team aware,	3	5.15221090815789E-07		
No compromise, Other: HX of laryngeal cleft	3	5.15221090815789E-07		
No compromise, Other: secretions from mouth and nose	3	5.15221090815789E-07		
Patent, Other: TEF/EA, replogle in place	3	5.15221090815789E-07		
Other: croup, UAC	3	5.15221090815789E-07		
"Other: Pt. with ""floppy airway"". Baseline 100 mL O2 via nasal cannula at baseline"	3	5.15221090815789E-07		
Other: nasal congestion, shallow breaths	3	5.15221090815789E-07		
Other: stridulous cough	3	5.15221090815789E-07		
No compromise, Other: recurrent TEF	3	5.15221090815789E-07		
No compromise, Other: prolonged exp phase	3	5.15221090815789E-07		
Stridorous, Other: Laryngomalacia`	3	5.15221090815789E-07		
Other: stridulous when crying	3	5.15221090815789E-07		
Stridorous, Other: very mild stridor	3	5.15221090815789E-07		
No compromise, Stridorous, Other: laryngeal stridor baseline	3	5.15221090815789E-07		
No compromise, Other: intermittent wheezing and upper airway congestion with agitation	3	5.15221090815789E-07		
No compromise, Other: stridor at baseline with hoarse voice	3	5.15221090815789E-07		
No compromise, Other: Intermittent stridor (none at this time)	3	5.15221090815789E-07		
Positional, Other: noisy breathing/snoring	3	5.15221090815789E-07		
Other: History of obstructive breathing patterns & nasal polyps.	3	5.15221090815789E-07		
Critical, Other: decanulated 4/30	3	5.15221090815789E-07		
Oropharyngeal airway, Other: clear rhinorrhea	3	5.15221090815789E-07		
No compromise, Other: HFNC 50% FIO2, flow 7	3	5.15221090815789E-07		
No compromise, Other: abd distended, labored breathing intermittently	3	5.15221090815789E-07		
Stridorous, Other: retractions	3	5.15221090815789E-07		
Other: increased stridor with cry	3	5.15221090815789E-07		
No compromise, Stridorous, Other: mild laryngomalacia.	3	5.15221090815789E-07		
Other: tight	3	5.15221090815789E-07		
No compromise, Other: per mom h/o subglottic stenosis	3	5.15221090815789E-07		
Stridorous, Other: open trach stoma, s/p decannulation 6/30/15	3	5.15221090815789E-07		
Endotracheal tube, Other: old trach scar	3	5.15221090815789E-07		
Stridorous, Unprotected, Vocal cord paralysis	3	5.15221090815789E-07		
Other: shunt tract along L side of scalp without redness/pain	3	5.15221090815789E-07		
Other: per home regimen pt requires 1/4 L NC, upper airway noise noted. Lung sounds clear bilat.	3	5.15221090815789E-07		
No compromise, Other: Presently on HFNC 40% 6L flow  Plan for CPAP over night.	3	5.15221090815789E-07		
No compromise, Other: tongue stitch to protect airway discontinued by Aimee Madden, PA	3	5.15221090815789E-07		
Tracheostomy, Other: MD Jennings at bedside. When I had arrived pt was decannulated. Md would like to downsize do to pt's inability to cough out secretions.	3	5.15221090815789E-07		
No compromise, Other: noisy breathing while going to sleep.	3	5.15221090815789E-07		
Other: Stridious while crying, no longer stridorous at rest. Remains >95-100% on RA	3	5.15221090815789E-07		
Tracheostomy, Other: HME	3	5.15221090815789E-07		
No compromise, Other: does breath-holding	3	5.15221090815789E-07		
Other: faint stridor	3	5.15221090815789E-07		
No compromise, Other: inspiritory stridor while asleep	3	5.15221090815789E-07		
Positional, Other: HX critical airway, see signage at HOB for details	3	5.15221090815789E-07		
No compromise, Other: stridor with aggitation	3	5.15221090815789E-07		
Stridorous, Other: worse when upset	3	5.15221090815789E-07		
Tracheostomy, Other: pulled out trach-	3	5.15221090815789E-07		
No compromise, Other: OSA no desats, pt repositions himself	3	5.15221090815789E-07		
No compromise, Stridorous, Vocal cord paralysis, Other: L vocal cord paralysis.  Stridorous with crying/agitation	3	5.15221090815789E-07		
Edematous, Other: snoring when asleep	3	5.15221090815789E-07		
Other: sats are stable, see saw breathing, tachpnic	3	5.15221090815789E-07		
No compromise, Other: upper aiway  congestion	3	5.15221090815789E-07		
Oropharyngeal airway, Other: chin tilt	3	5.15221090815789E-07		
Critical, Endotracheal tube, Other: hx difficult intubation	3	5.15221090815789E-07		
Other: chest tube removed left side 1/29/14	3	5.15221090815789E-07		
No compromise, Other: asthma no recent flares	3	5.15221090815789E-07		
Other: Extubated at 2pm	3	5.15221090815789E-07		
